,first-author,first-author-affiliation,First Author Gender,last-author,last-author-affiliation,Last Author Gender,title
399,Nikos Vlassis,Netflix,Male,Tony Jebara,Netflix,Male,On the Design of Estimators for Bandit Off-Policy Evaluation
400,Junyu Cao,University of California Berkeley,Female,Wei Sun,IBM Research,Male,Dynamic Learning with Frequent New Product Launches: A Sequential Multinomial Logit Bandit Problem
401,Eloi Zablocki,"Sorbonne Université, LIP6",Male,Patrick Gallinari,"LIP6, Sorbonne Universite",Male,Context-Aware Zero-Shot Learning for Object Recognition
402,Adam Dziedzic,University of Chicago,Male,Michael Franklin,University of Chicago,Male,Band-limited Training and Inference for Convolutional Neural Networks
403,Pengkai Zhu,Boston University,Male,Venkatesh Saligrama,Boston University,Male,Learning Classifiers for Target Domain with Limited or No Labels
404,Daniel Ho,UC Berkeley,Male,Pieter Abbeel,UC Berkeley,Male,Population Based Augmentation: Efficient Learning of Augmentation Policy Schedules
405,Tam Nguyen,University of Freiburg,Male,Thomas Brox,University of Freiburg,Male,Anomaly Detection With Multiple-Hypotheses Predictions
406,Wittawat Jitkrittum,Max Planck Institute for Intelligent Systems,Male,Bernhard Schölkopf,"MPI for Intelligent Systems Tübingen, Germany",Male,Kernel Mean Matching for Content Addressability of GANs
407,Alexandre Kaspar,MIT CSAIL,Male,Wojciech Matusik,MIT,Male,Neural Inverse Knitting: From Images to Manufacturing Instructions
408,Richard Zhang,Adobe,Male,Richard Zhang,Adobe,Male,Making Convolutional Networks Shift-Invariant Again
409,Jinyang Yuan,Fudan University,,Xiangyang Xue,Fudan University,Male,Generative Modeling of Infinite Occluded Objects for Compositional Scene Representation
410,Eldad Haber,University of British Columbia,Male,Lars Ruthotto,Emory University,Male,IMEXnet - A Forward Stable Deep Neural Network
411,Benjamin Recht,Berkeley,Male,Vaishaal Shankar,UC Berkeley,Male,Do ImageNet Classifiers Generalize to ImageNet?
412,Logan Engstrom,MIT,Male,Aleksander Madry,MIT,Male,Exploring the Landscape of Spatial Robustness
413,Ilias Diakonikolas,USC,Male,Alistair Stewart,University of Southern California,Male,Sever: A Robust Meta-Algorithm for Stochastic Optimization
414,Arjun Nitin Bhagoji,Princeton University,Male,Seraphin Calo ,IBM Research,Male,Analyzing Federated Learning through an Adversarial Lens
415,Ulrich AIVODJI,UQAM,Male,Alain Tapp,Université de Montréal,Male,Fairwashing: the risk of rationalization
416,Marc-Etienne Brunet,University of Toronto,Male,Richard Zemel,Vector Institute,Male,Understanding the Origins of Bias in Word Embeddings
417,Shengjie Wang,"""University of Washington, Seattle""",Male,Jeff Bilmes,UW,Male,Bias Also Matters: Bias Attribution for Deep Neural Network Explanation
418,Tianyuan Zhang,Peking University,Male,Zhanxing Zhu,Peking University,Male,Interpreting Adversarially Trained Convolutional Neural Networks
419,Yash Goyal,Georgia Tech,Male,Stefan Lee,Georgia Institute of Technology,Male,Counterfactual Visual Explanations
420,Fang Liu,The Ohio State University,Male,Ness Shroff,The Ohio State University,Male,Data Poisoning Attacks on Stochastic Bandits
421,Yisen Wang,Tsinghua University,Male,Quanquan Gu,"University of California, Los Angeles",Male,On the Convergence and Robustness of Adversarial Training
422,Yanyao Shen,UT Austin,Male,Sujay Sanghavi,UT Austin,Male,Learning with Bad Training Data via Iterative Trimmed Loss Minimization
423,Vojtech Franc,Czech Technical University in Prague,Male,Daniel Prusa,Czech technical university in Prague,Male,On discriminative learning of prediction uncertainty
424,Pengfei Chen,The Chinese University of Hong Kong,Male,Shengyu Zhang,Tencent; The Chinese University of Hong Kong,Male,Understanding and Utilizing Deep Neural Networks Trained with Noisy Labels
425,Shashank Rajput,University of Wisconsin - Madison,Male,Dimitris Papailiopoulos,University of Wisconsin-Madison,Male,Does Data Augmentation Lead to Positive Margin?
426,Nikola Konstantinov,IST Austria,Male,Christoph H. Lampert,IST Austria,Male,Robust Learning from Untrusted Sources
427,Hwanjun Song,KAIST,Male,Jae-Gil Lee,KAIST,Male,SELFIE: Refurbishing Unclean Samples for Robust Deep Learning
428,Cong Xie,UIUC,Male,Indranil Gupta,UIUC,Male,Zeno: Distributed Stochastic Gradient Descent with Suspicion-based Fault-tolerance
429,Philip Thomas,University of Massachusetts Amherst,Male,Erik Learned-Miller,"University of Massachusetts, Amherst",Male,Concentration Inequalities for Conditional Value at Risk
430,Saeed Mahloujifar,University of Virginia,Male,Ameer Mohammed,Kuwait University,Male,Data Poisoning Attacks in Multi-Party Learning
431,Sepehr Assadi,Princeton University,Male,Vahab Mirrokni,Google Research,Male,Distributed Weighted Matching via Randomized Composable Coresets
432,Richard Santiago,McGill University,Male,F. Bruce Shepherd,University of British Columbia,Male,Multivariate Submodular Optimization
433,Kaito Fujii,University of Tokyo,,Shinsaku Sakaue,NTT,Male,Beyond Adaptive Submodularity: Approximation Guarantees of Greedy Policy with Adaptive Submodularity Ratio
434,Thomas Frerix,Technical University of Munich,Male,Joan Bruna,New York University,Male,Approximating Orthogonal Matrices with Effective Givens Factorization
435,Ferdinando Cicalese,University of Verona,Male,Lucas Murtinho,PUC-RJ,Male,New results on information theoretic clustering
436,Mohsen Ghaffari,ETH Zurich,Male,Slobodan Mitrović,MIT,Male,Improved Parallel Algorithms for Density-Based Network Clustering
437,Abolfazl Hashemi,University of Texas at Austin,Male,Ufuk Topcu,University of Texas at Austin,Male,Submodular Observation Selection and Information Gathering for Quadratic Models
438,Victoria Crawford,University of Florida,Female,My T Thai,University of Florida,Female,Submodular Cost Submodular Cover with an Approximate Oracle
439,Ehsan Kazemi,Yale,Male,Amin Karbasi,Yale,Male,"Submodular Streaming in All Its Glory: Tight Approximation, Minimum Memory and Low Adaptive Complexity"
440,Manish Purohit,Google Research,Male,Manish Raghavan,Cornell,Male,Hiring Under Uncertainty
441,Jiaxuan You,Stanford University,Male,Jure Leskovec,Stanford University,Male,Position-aware Graph Neural Networks
442,Kejun Huang,University of Florida,Male,Xiao Fu,Oregon State University,Male,Detecting Overlapping and Correlated Communities without Pure Nodes: Identifiability and Algorithm
443,Charlotte Bunne,ETH Zürich,Female,Stefanie Jegelka,MIT,Female,Learning Generative Models across Incomparable Spaces
444,Ryan Murphy,Purdue University,Male,Bruno Ribeiro,Purdue University,Male,Relational Pooling for Graph Representations
445,Jianxin Ma,Tsinghua University,Male,wenwu zhu,Tsinghua University,Male,Disentangled Graph Convolutional Networks
446,Milan Cvitkovic,California Institute of Technology,Male,Anima Anandkumar,Caltech,Female,Open Vocabulary Learning on Source Code with a Graph-Structured Cache
447,Luca Franceschi,Istituto Italiano di Tecnologia - University College London,Male,Xiao He,NEC Laboratories Europe,Male,Learning Discrete Structures for Graph Neural Networks
448,Avishek Bose,McGill/Mila,Male,William Hamilton,McGill University,Male,Compositional Fairness Constraints for Graph Embeddings
449,Sylvain Lamprier,LIP6 - Sorbonne Universités,Male,Sylvain Lamprier,LIP6 - Sorbonne Universités,Male,A Recurrent Neural Cascade-based Model for Continuous-Time Diffusion
450,Nikhil Mehta,Duke University,Male,Piyush Rai,IIT Kanpur,Male,Stochastic Blockmodels meet Graph Neural Networks
451,Jayadev Acharya,Cornell University,Male,Karthik Sridharan,Cornell University,Male,Distributed Learning with Sublinear Communication
452,Hao Yu,Alibaba Group (US) Inc,Male,Sen Yang,,Male,On the Linear Speedup Analysis of Communication Efficient Momentum SGD for Distributed Non-Convex Optimization
453,Mahmoud Assran,McGill University/Facebook AI Research,Male,Mike Rabbat,Facebook,Male,Stochastic Gradient Push for Distributed Deep Learning
454,Minh Hoang,Carnegie Mellon University,Male,Carleton Kingsford,Carnegie Mellon University,Male,Collective Model Fusion for Multiple Black-Box Experts
455,Farzin Haddadpour,Pennsylvania State University,Male,Viveck Cadambe,Pennsylvania State University,Male,Trading Redundancy for Communication: Speeding up Distributed SGD for Non-convex Optimization
456,Jihun Yun,KAIST,Male,Aleksandr Aravkin,UW,Male,"Trimming the $\ell_1$ Regularizer: Statistical Analysis, Optimization, and Applications to Deep Learning"
457,Vatsal Sharan,Stanford University,Male,Gregory Valiant,Stanford University,Male,Compressed Factorization: Fast and Accurate Low-Rank Factorization of Compressively-Sensed Data
458,Tianyu Ding,Johns Hopkins University,Male,Rene Vidal,"Johns Hopkins University, USA",Male,Noisy Dual Principal Component Pursuit
459,Shanshan Wu,University of Texas at Austin,Female,Sanjiv Kumar,"Google Research, NY",Male,Learning a Compressed Sensing Measurement Matrix via Gradient Unrolling
460,alain rakotomamonjy,Universite de Rouen Normandie / Criteo AI Lab,Male,Joseph Salmon,Université de Montpellier,Male,Screening rules for Lasso with  non-convex Sparse Regularizers
461,Zac Cranko,ANU,Male,Christian Walder,"Data61, the Australian National University",Male,Monge blunts Bayes: Hardness Results for Adversarial Training
462,Matthew Holland,Osaka University,Male,Kazushi Ikeda,Nara Institute of Science and Technology,Male,Better generalization with less data using robust gradient descent
463,Tuhin Sarkar,MIT,Male,Alexander Rakhlin,MIT,Male,Near optimal finite time identification of arbitrary linear dynamical systems
464,Richard Nock,"Data61, The Australian National University and the University of Sydney",Male,Bob C Williamson,ANU,Male,Lossless or Quantized Boosting with Integer Arithmetic
465,Miruna Oprescu,Microsoft Research,Female,Steven Wu,University of Minnesota,Male,Orthogonal Random Forest for Causal Inference
466,Matthieu Lerasle,"Laboratoire de Mathématiques d'Orsay, Univ. Paris-Sud; CNRS, Université Paris Saclay, France",Male,Guillaume Lecue,CREST,Male,MONK --  Outlier-Robust Mean Embedding Estimation by Median-of-Means
467,Vitaly Feldman,Google Brain,Male,Moritz Hardt,Google Brain,Male,The advantages of multiple classes for reducing overfitting from test set reuse
468,Xiaohan Wei,University of Southern California,Female,Zhaoran Wang,Northwestern U,Male,On the statistical rate of nonlinear recovery in generative models with heavy-tailed data
469,Niels Ipsen,Technical University of Denmark,Male,Lars Kai Hansen,Technical University of Denmark,Male,"Phase transition in PCA with missing data: Reduced signal-to-noise ratio, not sample size!"
470,Stephan Clemencon,Telecom ParisTech,Male,Patrice Bertail,Université Paris Nanterre,Female,On Medians of (Randomized) Pairwise Means
471,Bugra Can,Rutgers University,,Lingjiong  Zhu,Florida State University,Male,Accelerated Linear Convergence of Stochastic Momentum Methods in Wasserstein Distances
472,Dheeraj Nagaraj,Massachusetts Institute of Technology,Male,Praneeth Netrapalli,Microsoft Research,Male,SGD without Replacement: Sharper Rates for General Smooth Convex Functions
473,Alexey Kroshnin,Institute for Information Transmission Problems,Male,Cesar A Uribe,MIT,Male,On the Complexity of Approximating Wasserstein Barycenters
474,Andrei Kulunchakov,Inria,Male,Julien Mairal,Inria,Male,Estimate Sequences for Variance-Reduced Stochastic Composite Optimization
475,Michael Muehlebach,UC Berkeley,Male,Michael Jordan,UC Berkeley,Male,A Dynamical Systems Perspective on Nesterov Acceleration
476,Jeff HaoChen,Tsinghua University,Male,Suvrit Sra,MIT,Male,Random Shuffling Beats SGD after Finite Epochs
477,Ching-pei Lee,University of Wisconsin-Madison,,Stephen Wright,University of Wisconsin-Madison,Male,First-Order Algorithms Converge Faster than $O(1/k)$ on Convex Problems
478,Alina Ene,Boston University,Female,Adrian Vladu,Boston University,Male,Improved Convergence for $\ell_1$ and $\ell_\infty$ Regression via Iteratively Reweighted Least Squares
479,Nidham Gazagnadou,Télécom ParisTech,Male,Joseph Salmon,Université de Montpellier,Male,Optimal Mini-Batch and Step Sizes for SAGA
480,Huizhuo Yuan,Peking University,,Qingyun Sun,Stanford University,Male,Differential Inclusions for Modeling Nonsmooth ADMM Variants: A Continuous Limit Theory
481,Hao Song,University of Bristol,Male,Peter Flach,University of Bristol,Male,Distribution calibration for regression
482,Ian Walker,Imperial College London,Male,Ben Glocker,Imperial College London,Male,Graph Convolutional Gaussian Processes
483,Ahsan Alvi,University of Oxford,Male,Michael A Osborne,U Oxford,Male,Asynchronous Batch Bayesian Optimisation with Improved Local Penalisation
484,David John,"Corporate Research, Robert Bosch GmbH",Male,Michael Schober,Bosch Center for Artificial Intelligence,Male,GOODE: A Gaussian Off-The-Shelf Ordinary Differential Equation Solver
485,Alessandro Davide Ialongo,University of Cambirdge; Max Planck Tübingen,Male,Carl E Rasmussen,Cambridge University,Male,Overcoming Mean-Field Approximations in Recurrent Gaussian Process Models
486,Gabriele Abbati,University of Oxford,Male,Stefan Bauer,MPI for Intelligent Systems,Male,AReS and MaRS - Adversarial and MMD-Minimizing Regression for SDEs
487,William Wilkinson,Queen Mary University of London,Male,Arno Solin,Aalto University,Male,End-to-End Probabilistic Inference for Nonstationary Audio Analysis
488,Hugh Salimbeni,Imperial College,Male,Marc P Deisenroth,Imperial College London and PROWLER.io,Male,Deep Gaussian Processes with Importance-Weighted Variational Inference
489,Henry Chai,Washington University in St. Louis,Male,Roman Garnett,Washington University in St. Louis,Male,Automated Model Selection with Bayesian Quadrature
490,Fadhel Ayed,University of Oxford,Male,Francois Caron,Oxford,Male,Beyond the Chinese Restaurant and Pitman-Yor processes: Statistical Models with double power-law behavior
491,Andrew R Lawrence,University of Bath,Male,Neill Campbell,University of Bath,Male,DP-GP-LVM: A Bayesian Non-Parametric Model for Learning Multivariate Dependency Structures
492,Aonan Zhang,Columbia University,Male,John Paisley,Columbia University,Male,Random Function Priors for Correlation Modeling
493,Kai Xu,University of Edinburgh,Male,Charles Sutton,Google,Male,Variational Russian Roulette for Deep Bayesian Nonparametrics
494,JUNLIANG DU,Florida State University,,Tony Linero,Florida State University,Male,Incorporating Grouping Information into Bayesian Decision Tree Ensembles
495,Chao Ma,University of Cambridge,Male,Jose Miguel Hernandez-Lobato,University of Cambridge,Male,Variational Implicit Processes
496,Anh Tong,Ulsan National Institute of Science and Technology,Female,Jaesik Choi,Ulsan National Institute of Science and Technology,Male,Discovering Latent Covariance Structures for Multiple Time Series
497,Jiaxin Shi,Tsinghua University,Male,Jun Zhu,Tsinghua University,Male,Scalable Training of Inference Networks for Gaussian-Process Models
498,Zhongxiang Dai,National University of Singapore,Male,Patrick Jaillet ,MIT,Male,Bayesian Optimization Meets Bayesian Optimal Stopping
499,Lea Duncker,"Gatsby Unit, UCL",Female,Maneesh Sahani,"Gatsby Unit, UCL",Male,Learning interpretable continuous-time models of latent stochastic dynamical systems
500,Jennifer Gillenwater,Google Research NYC,Female,Sergei Vassilvitskii,Google,Male,A Tree-Based Method for Fast Repeated Sampling of Determinantal Point Processes
501,Dilin Wang,UT Austin,Male,Qiang Liu,UT Austin,Male,Nonlinear Stein Variational Gradient Descent for Learning Diversified Mixture Models
502,Chang Liu,Tsinghua University,Male,Jun Zhu,Tsinghua University,Male,Understanding and Accelerating Particle-Based Variational Inference
503,Paul Rolland,Ecole Polytechnique Fédérale de Lausanne,Male,Volkan Cevher,EPFL,Male,Efficient learning of smooth probability functions from Bernoulli tests with guarantees
504,Da Tang,Columbia University,,Rajesh Ranganath,New York University,Male,The Variational Predictive Natural Gradient
505,Edwin Fong,University of Oxford,Male,Christopher Holmes,University of Oxford,Male,Scalable Nonparametric Sampling from Multimodal Posteriors with the Posterior Bootstrap
506,Behrooz Ghorbani,Stanford University,Male,Andrea Montanari,Stanford University,Female,An Instability in Variational Inference for Topic Models
507,Raul Astudillo,Cornell University,Male,Peter I Frazier,Cornell University / Uber,Male,Bayesian Optimization of Composite Functions
508,Raj Agrawal,MIT,Male,Tamara Broderick,MIT,Female,The Kernel Interaction Trick: Fast Bayesian Discovery of Pairwise Interactions in High Dimensions
509,Chengyue Gong,university of texas at austin,,Qiang Liu,UT Austin,Male,Quantile Stein Variational Gradient Descent for Batch  Bayesian Optimization
510,Yuan Li,University of Melbourne,,Trevor Cohn,University of Melbourne,Male,Exploiting Worker Correlation for Label Aggregation in Crowdsourcing
511,Ted Meeds,Microsoft Research,Male,Neil Dalchau,Microsoft Research,Male,Efficient Amortised Bayesian Inference for Hierarchical and Nonlinear Dynamical Systems
512,Onur Dereli,Koç University,Male,Mehmet Gönen,Koç University,Male,A Multitask Multiple Kernel Learning Algorithm for Survival Analysis with Application to Cancer Biology
513,Charlie Frogner,MIT,Male,Tomaso Poggio,Massachusetts Institute of Technology,Male,Fast and Flexible Inference of Joint Distributions from their Marginals
514,Joshua C Peterson,Princeton University,Male,Stuart Russell,UC Berkeley,Male,Cognitive model priors for predicting human decisions
515,David Brookes,"University of California, Berkeley",Male,Jennifer Listgarten,"University of California, Berkeley",Female,Conditioning by adaptive sampling for robust design
516,Maithra Raghu,Cornell University / Google Brain,Female,Jon Kleinberg,Cornell University,Male,Direct Uncertainty Prediction for Medical Second Opinions
517,Chun-Hao (Kingsley) Chang,University of Toronto,Male,Anna Goldenberg,University of Toronto,Female,Dynamic Measurement Scheduling for Event Forecasting using Deep RL
518,Hesham Mostafa,Intel Corporation,Male,Xin Wang,Cerebras Systems,Male,Parameter efficient training of deep convolutional neural networks by dynamic sparse reparameterization
519,"Ngoc ""Tumi"" Tran",Cold Spring Harbor Laboratory,Female,Alexei Koulakov,Cold Spring Harbor Laboratory,Male,DeepNose: Using artificial neural networks to represent the space of odorants
520,Xingchao Peng,Boston University,Male,Kate Saenko,Boston University,Female,Domain Agnostic Learning with Disentangled Representations
521,Benjamin van Niekerk,University of the Witwatersrand,Male,Benjamin Rosman,Council for Scientific and Industrial Research,Male,Composing Value Functions in Reinforcement Learning
522,Luisa Zintgraf,University of Oxford,Female,Shimon Whiteson,University of Oxford,Male,Fast Context Adaptation via Meta-Learning
523,Nina Balcan,Carnegie Mellon University,Female,Ameet Talwalkar,Carnegie Mellon University,Male,Provable Guarantees for Gradient-Based Meta-Learning
524,Mary Phuong,IST Austria,Female,Christoph H. Lampert,IST Austria,Male,Towards Understanding Knowledge Distillation
525,Hong Liu,Tsinghua University,Male,Michael Jordan,UC Berkeley,Male,Transferable Adversarial Training: A General Approach to Adapting Deep Classifiers
526,Xinyang Chen,Tsinghua University,Male,Jianmin Wang,Tsinghua University,Male,Transferability vs. Discriminability: Batch Spectral Penalization for Adversarial Domain Adaptation
527,Giulia Denevi,IIT,Female,Massimiliano Pontil,University College London,Male,Learning-to-Learn Stochastic Gradient Descent with Biased Regularization
528,Asa Cooper Stickland,University of Edinburgh,Male,Iain Murray,University of Edinburgh,Male,BERT and PALs: Projected Attention Layers for Efficient Adaptation in Multi-Task Learning
529,Kaichao You,Tsinghua University,Male,Michael Jordan,UC Berkeley,Male,Towards Accurate Model Selection in Deep Unsupervised Domain Adaptation
530,Gregory Canal,Georgia Institute of Technology,Male,Christopher Rozell,Georgia Institute of Technology,Male,Active Embedding Search via Noisy Paired Comparisons
531,weishi shi,Rochester Institute of Technology,Male,Qi Yu,Rochester Institute of Technology,Male,Fast Direct Search in an Optimally Compressed Continuous Target Space for Efficient Multi-Label Active Learning
532,Kirthevasan Kandasamy,Carnegie Mellon University,Male,Barnabás Póczos,CMU,Male,Myopic Posterior Sampling for Adaptive Goal Oriented Design of Experiments
533,Toan Tran,University of Adelaide,Male,Gustavo Carneiro,University of Adelaide,Male,Bayesian Generative Active Deep Learning
534,Sima Behpour,University of Pennsylvania,Female,Brian Ziebart,University of Illinois at Chicago,Male,Active Learning for Probabilistic Structured Prediction of Cuts and Matchings
535,Corinna Cortes,Google Research,Female,Claudio Gentile,INRIA and Google,Male,Active Learning with Disagreement Graphs
536,Yifeng Fan,University of Illinois at Urbana-Champaign,Male,Jane Zhao,University of Illinois at Urbana Champaign,Female,Multi-Frequency Vector Diffusion Maps
537,Gal Mishne,Yale,Male,Ronald Coifman,Yale University,Male,Co-manifold learning with missing data
538,Eric Nalisnick,University of Cambridge & DeepMind,Male,Balaji Lakshminarayanan,Google DeepMind,Male,Hybrid Models with Deep and Invertible Features
539,Alex Lamb,Universite de Montreal,Male,Mike Mozer,Google Research &            U. Colorado Boulder,Male,State-Reification Networks: Improving Generalization by Modeling the Distribution of Hidden Representations
540,Yookoon Park,Seoul National University,Male,Gunhee Kim,Seoul National University,Male,Variational Laplace Autoencoders
541,Zachary Ziegler,Harvard University,Male,Alexander Rush,Harvard University,Male,Latent Normalizing Flows for Discrete Sequences
542,Isabela Albuquerque,Institut National de la Recherche Scientifique,Female,Ioannis Mitliagkas,"MILA, UdeM",Male,Multi-objective training of Generative Adversarial Networks with multiple discriminators
543,Yeonwoo Jeong,Seoul National University,Male,Hyun Oh Song,Seoul National University,Male,Learning Discrete and Continuous Factors of Data via Alternating Disentanglement
544,Friso Kingma,UC Berkeley,Male,Jonathan Ho,UC Berkeley,Male,Bit-Swap: Recursive Bits-Back Coding for Lossless Compression with Hierarchical Latent Variables
545,Aditya Grover,Stanford University,Male,Stefano Ermon,Stanford University,Male,Graphite: Iterative Generative Modeling of Graphs
546,Pierre-Alexandre Mattei,IT University Copenhagen,Male,Jes Frellsen,IT University of Copenhagen,Male,MIWAE: Deep Generative Modelling and Imputation of Incomplete Data Sets
547,Yujia Xie,Georgia Institute of Technology,Female,Hongyuan Zha,Georgia Institute of Technology,Male,On Scalable and Efficient Computation of Large Scale Optimal Transport
548,Luke Metz,Google Brain,Male,Jascha Sohl-Dickstein,Google Brain,Male,Understanding and correcting pathologies in the training of learned optimizers
549,Hongchang Gao,University of Pittsburgh,Male,Heng Huang,University of Pittsburgh,Male,Demystifying Dropout
550,Taewon Jeong,KAIST,Male ,Heeyoung Kim,KAIST,Female,Ladder Capsule Network
551,Xavier Bouthillier,Mila - Université de Montréal,Male,Pascal Vincent,U Montreal,Male,Unreproducible Research is Reproducible
552,Feng Gao,Michigan State University,Male,Matthew Hirn,Michigan State University,Male,Geometric Scattering for Graph Data Analysis
553,Kimin Lee,KAIST,Male,Jinwoo Shin,"KAIST, AITRICS",Male,Robust Inference via Generative Classifiers for Handling Noisy Labels
554,Animesh Koratana,Stanford University,Male,Matei Zaharia,Stanford and Databricks,Male,LIT: Learned Intermediate Representation Training for Model Compression
555,Nicholas Frosst,Google Brain,Male,Geoffrey Hinton,Google,Male,Analyzing and Improving Representations with the Soft Nearest Neighbor Loss
556,Jonathon Byrd,Carnegie Mellon University,Male,Zachary Lipton,Carnegie Mellon University,Male,What is the Effect of Importance Weighting in Deep Learning?
557,Simon Kornblith,Google Brain,Male,Geoffrey Hinton,Google,Male,Similarity of Neural Network Representations Revisited
558,Tri Dao,Stanford,Male,Christopher Re,Stanford,Male,Learning Fast Algorithms for Linear Transforms Using Butterfly Factorizations
559,Ruo-Chun Tzeng,Microsoft Inc.,Female,Shan-Hung (Brandon) Wu,National Tsing Hua University,Male,"Distributed, Egocentric Representations of Graphs for Detecting Critical Structures"
560,Octavian-Eugen Ganea,ETH Zurich,Male,Aliaksei Severyn,Google,Male,Breaking the Softmax Bottleneck via Learnable Monotonic Pointwise Non-linearities
561,Klaus Greff,IDSIA,Male,Alexander Lerchner,DeepMind,Male,Multi-Object Representation Learning with Iterative Variational Inference
562,Carlos Esteves,University of Pennsylvania,Male,Ameesh Makadia,Google Research,Male,Cross-Domain 3D Equivariant Image Embeddings
563,Daniel Kunin,Stanford University,Male,Cotton Seed,Broad Institute of MIT and Harvard,Male,Loss Landscapes of Regularized Linear Autoencoders
564,Ryota Suzuki,LAPRAS Inc. ,,Shun Onoda,scouty Inc.,Male,Hyperbolic Disk Embeddings for Directed Acyclic Graphs
565,Songyang Zhang,ShanghaiTech University,Male,Shipeng Yan,ShanghaiTech University,Male,LatentGNN: Learning Efficient Non-local Relations for Visual Recognition
566,Raphael Suter,ETH Zurich,Male,Stefan Bauer,MPI for Intelligent Systems,Male,Robustly Disentangled Causal Mechanisms: Validating Deep Representations for Interventional Robustness
567,Marc Law,University of Toronto,Male,Richard Zemel,Vector Institute,Male,Lorentzian Distance Learning for Hyperbolic Representations
568,Hoang Le,Caltech,Male,Yisong Yue,Caltech,Male,Batch Policy Learning under Constraints
569,Karl Cobbe,OpenAI,Male,John Schulman,OpenAI,Male,Quantifying Generalization in Reinforcement Learning
570,Danijar Hafner,Google Brain & University of Toronto,Male,James Davidson,Google Brain,Male,Learning Latent Dynamics for Planning from Pixels
571,Riad Akrour,TU Darmstadt,Male,Gerhard Neumann,University of Lincoln,Male,Projections for Approximate Policy Iteration Algorithms
572,Craig Innes,University of Edinburgh,Male,Alex Lascarides,University of Edinburgh,Male,Learning Structured Decision Problems with Unawareness
573,Ali Malik,Stanford Universtiy,Male,Stefano Ermon,Stanford University,Male,Calibrated Model-Based Deep Reinforcement Learning
574,Alberto Maria Metelli,Politecnico di Milano,Male,Marcello Restelli,Politecnico di Milano,Male,Reinforcement Learning in Configurable Continuous Environments
575,Donghwan Lee,"University of Illinois, Urbana-Champaign",Male,Niao He,UIUC,Female,Target-Based Temporal-Difference Learning
576,Vincent Roulet,University of Washington,Male,Zaid Harchaoui,University of Washington,Male,Iterative Linearized Control: Stable Algorithms and Complexity Guarantees
577,Yuu Jinnai,Brown University,Male,George Konidaris,Brown,Male,Finding Options that Minimize Planning Time
578,Wouter Kool,University of Amsterdam,Male,Max Welling,University of Amsterdam,Male,Stochastic Beams and Where To Find Them: The Gumbel-Top-k Trick for Sampling Sequences Without Replacement
579,Lingbing Guo,Nanjing University,,Wei Hu,Nanjing University,Male,Learning to Exploit Long-term Relational Dependencies in Knowledge Graphs
580,Jack Rae,DeepMind,Male,Tim Lillicrap,Google DeepMind,Male,Meta-Learning Neural Bloom Filters
581,Sidi Lu,Shanghai Jiao Tong University,Male,Weinan Zhang,"Apex Data & Knowledge Management Lab, Shanghai Jiao Tong University",Male,CoT: Cooperative Training for Generative Modeling of Discrete Data
582,Sean Welleck,New York University,Male,Kyunghyun Cho,New York University,Male,Non-Monotonic Sequential Text Generation
583,Mitchell Stern,UC Berkeley,Male,Jakob Uszkoreit,"Google, Inc.",Male,Insertion Transformer: Flexible Sequence Generation via Insertion Operations
584,Eldan Cohen,University of Toronto,Male,Christopher Beck,University of Toronto,Male,Empirical Analysis of Beam Search Performance Degradation in Neural Sequence Models
585,Ashwin Kalyan,Georgia Tech,Male,Dhruv Batra,Georgia Institute of Technology / Facebook AI Research,Male,Trainable Decoding of Sets of Sequences for Neural Sequence Models
586,Rishabh Agarwal,"Google Research, Brain Team",Male,Mohammad Norouzi,Google Brain,Male,Learning to Generalize from Sparse and Underspecified Rewards
587,Linyuan Gong,Peking University,Male,Tie-Yan Liu,Microsoft Research Asia,Male,Efficient Training of BERT by Progressively Stacking
588,Raphaël Féraud,Orange Labs,Male,Romain Laroche,Microsoft Research,Male,Decentralized Exploration in Multi-Armed Bandits
589,Chicheng Zhang,Microsoft Research,Male,Sahand Negahban,YALE,Male,Warm-starting Contextual Bandits: Robustly Combining Supervised and Bandit Feedback
590,Pierre Perrault,Inria Lille - Nord Europe,Male,Michal Valko,DeepMind,Male,Exploiting structure of uncertainty for efficient matroid semi-bandits
591,Arghya Roy Chaudhuri,Indian Institute of Technology Bombay,Male,Shivaram Kalyanakrishnan,IIT Bombay,Male,PAC Identification of Many Good Arms in Stochastic Multi-Armed Bandits
592,Gi-Soo Kim,Seoul National University,,Myunghee Cho Paik,Seoul National University,Female,Contextual Multi-armed Bandit Algorithm for Semiparametric Reward Model
593,Jakob Foerster,Facebook AI Research,Male,Michael Bowling,DeepMind,Male,Bayesian Action Decoder for Deep Multi-Agent Reinforcement Learning
594,Abhishek Das,Georgia Tech,Male,Joelle Pineau,Facebook,Female,TarMAC: Targeted Multi-Agent Communication
595,Kyunghwan Son,KAIST,,Yung Yi,KAIST,Male,QTRAN: Learning to Factorize with Transformation for Cooperative Multi-Agent Reinforcement Learning
596,Shariq Iqbal,University of Southern California,Male,Fei Sha,Google Research,Male,Actor-Attention-Critic for Multi-Agent Reinforcement Learning
597,Thinh Doan,Georgia Institute of Technology,Male,Justin Romberg,Georgia Tech,Male,Finite-Time Analysis of Distributed TD(0) with Linear Function Approximation on Multi-Agent Reinforcement Learning
